# Vollstaendige FF1-Einzelbewertung der 67 Matrixzeilen.
# Quelle: docs/requirements.md
# Abschnitt 3 (Zeilen 162-228) am Auswertungsstand f847895. Die Spalten level und
# covered geben die Repository-Selbstauskunft wieder; normstufe, anwendbar, kategorie
# (Implementierungsstand) und technisch tragen die am RFC-Primaertext gepruefen
# Urteile dieser Arbeit als drei getrennt gespeicherte Einzelurteile, Pruefstand
# 2026-08-28. Erzeugt und geprueft von thesis/tikz/gen/ff1-kategorien.py (Asserts:
# 67 Zeilen; Gruppen 8/17/22/9/7/4; Implementierung 50/7/0/10; technisch 57/0/0/10).
quellzeile,gruppe,rfc_bereich,kurzinhalt,level,covered,normstufe,anwendbar,kategorie,technisch,beleg,anmerkung
162,Sec. 10,10,Ungueltige UDP-Laenge verwerfen und melden,MUST,yes,MUST,ja,vollstaendig,vollstaendig,R; FR-49,
163,Sec. 7-9,7,Surplus Area hinter dem Ende gemaess UDP-Laenge,MUST,yes,Festlegung,ja,vollstaendig,vollstaendig,W; FR-04,Sec. 7 traegt keinen markierten Absatz
164,Sec. 7-9,8,Ganze Surplus Area nutzen; OCS an erster Zweiergrenze,MUST,yes,Festlegung,ja,vollstaendig,vollstaendig,"W, O; FR-04/19",beschreibender Eroeffnungssatz von Sec. 8
165,Sec. 7-9,8,"Pad vor OCS null, sonst Optionen verwerfen",MUST,yes,MUST,ja,vollstaendig,vollstaendig,"W, R; FR-05; S-04","real belegt (S-04, G-Zelle)"
166,Sec. 7-9,9,OCS ueber Bereich und 16-Bit-Laengensummand,MUST,yes,Festlegung,ja,vollstaendig,vollstaendig,O; FR-19; Wire-Pruefung,
167,Sec. 7-9,9,"OCS nicht null, wenn UDP-Pruefsumme nicht null",MUST,yes,MUST,ja,vollstaendig,vollstaendig,O; FR-21; S-06,
168,Sec. 7-9,9,Nichtnull-OCS als Voreinstellung,MUST,yes,MUST,ja,vollstaendig,vollstaendig,"O, A; FR-21",
169,Sec. 7-9,9,Bei OCS-Fehler Optionen und Surplus verwerfen,MUST,yes,MUST,ja,vollstaendig,vollstaendig,R; FR-20; S-05,real belegt (S-05)
170,Sec. 7-9,9/14,Gueltige Nutzdaten trotz OCS-Fehler standardmaessig liefern,MUST,yes,MUST,ja,vollstaendig,vollstaendig,R; FR-38; S-06,S-06-Matrix real
171,Sec. 10,10,TLV-Rahmung und erweitertes Laengenformat,MUST,yes,Festlegung,ja,vollstaendig,vollstaendig,O; FR-07/09,
172,Sec. 10,10,NOP und EOL ohne Laengenfeld,MUST,yes,Festlegung,ja,vollstaendig,vollstaendig,O; FR-08,"im markierten Absatz, aber ohne eigenes Schluesselwort"
173,Sec. 10,10,Laenge unter Formatminimum verwirft alle Optionen,MUST,yes,MUST,ja,vollstaendig,vollstaendig,"O, R; FR-10; S-11a",S-11a real
